,Date,Text,Favourites,Retweet,Id,User
51,08/02/2019 04:48,"b'Rehana Fathima, who tried to enter Sabarimala temple, serves one-day jail and pays a fine of \xe2\x82\xb9 2.1 lakh in a cheque\xe2\x80\xa6 https://t.co/yPHjyome4q'",1.0,0.0,1.09373e+18,yogeshwarkastur
52,,,,,,
53,08/02/2019 04:25,b'Varma alleges TDB not with devotees https://t.co/X60tNvl6h8 \xe2\x80\xa6  #SasikumarVarma #TDB #Travancoredevaswomboard\xe2\x80\xa6 https://t.co/DJpA2tW7WP',0.0,0.0,1.09373e+18,pennewstweet
54,,,,,,
55,08/02/2019 04:01,"b'\xf0\x9f\x91\x87 #Sabarimala #SabarimalaReview #SaveSabarimalaTradition Can constitutional morality be at odds with legality, libe\xe2\x80\xa6 https://t.co/HYbmMEiTNi'",0.0,0.0,1.09372e+18,bulletmanV
56,,,,,,
57,08/02/2019 03:55,"b'A great lesson for the anarchists and vandals, hiding under the garb of Constitutional morality. #Sabarimala\xe2\x80\xa6 https://t.co/SbAlCh5U3H'",1.0,0.0,1.09372e+18,bulletmanV
58,,,,,,
59,08/02/2019 03:54,"b'Kanakadurga returns home, but husband and family shift to rented house https://t.co/rS9TLnjw8L \xe2\x80\xa6 \xe2\x80\xa6 #Kanakadurga\xe2\x80\xa6 https://t.co/p0c7bzKKzW'",0.0,0.0,1.09372e+18,pennewstweet
60,,,,,,
61,07/02/2019 20:42,"b'@KArrrrrrMa @RituRathaur While Kerala Hindus were busy boasting harmony , other religions were perfecting their plo\xe2\x80\xa6 https://t.co/0HW4siGtPD'",1.0,0.0,1.09361e+18,exception41
62,,,,,,
63,07/02/2019 19:35,b'@Not_A_Shammer @venx36 @Ohnomynameis Not prepared to get into an argument coz Iam also a Faithful..Hindu women devo\xe2\x80\xa6 https://t.co/qThcZTk1Xj',1.0,0.0,1.09359e+18,drmcshekhar
64,,,,,,
65,07/02/2019 18:33,"b'Devaswom U-turn on Sabarimala draws flak, protest tomorrow https://t.co/fMy5SgQITa \xe2\x80\xa6 #Sabarimala #TDB\xe2\x80\xa6 https://t.co/JDFJiC05Cf'",0.0,0.0,1.09358e+18,pennewstweet
66,,,,,,
67,07/02/2019 18:31,b'Varma alleges TDB not with devotees https://t.co/X60tNvl6h8 \xe2\x80\xa6 #SasikumarVarma #TDB #Travancoredevaswomboard\xe2\x80\xa6 https://t.co/AVew8wUjmk',0.0,0.0,1.09358e+18,pennewstweet
68,,,,,,
69,07/02/2019 16:56,b'@suprema_she @Kuvalayamala @narendramodi her core issue is #SaveSabarimalaTradition tradition . She has every right\xe2\x80\xa6 https://t.co/6efj1VBxwf',0.0,0.0,1.09355e+18,Patriotofbharat
70,,,,,,
71,07/02/2019 15:34,"b'Please read my last few RTs. Our temples are not playgrounds for SJWism. Hinduism is lenient in certain aspects, bu\xe2\x80\xa6 https://t.co/3iLyrBb3hG'",9.0,6.0,1.09353e+18,YehAccntFakeHai
72,,,,,,
73,07/02/2019 12:51,"b'@dolphinsnodoll Why should women fight for #SaveSabarimalaTradition, thing is it is never about Equality and they r\xe2\x80\xa6 https://t.co/lzLkyuyevm'",0.0,0.0,1.09349e+18,Rwind_13
74,,,,,,
75,07/02/2019 12:46,"b'Kanakadurga returns home, but husband and family shift to rented house https://t.co/rS9TLnjw8L \xe2\x80\xa6 #Kanakadurga\xe2\x80\xa6 https://t.co/RqkYZx1wNp'",0.0,0.0,1.09349e+18,pennewstweet
76,,,,,,
77,07/02/2019 11:25,"b'Devaswom U-turn on Sabarimala draws flak, protest tomorrow https://t.co/fMy5SgQITa #Sabarimala #TDB\xe2\x80\xa6 https://t.co/i4Ws7GyeaN'",0.0,0.0,1.09347e+18,pennewstweet
78,,,,,,
79,07/02/2019 10:48,b'@pratheesh_ahp \n@psspillaibjp \n@surendranbjp \n@advssuresh \nPlease follow this link to follow court proceedings of\xe2\x80\xa6 https://t.co/qsuO1UA9yk',1.0,0.0,1.09346e+18,Hindu108
80,,,,,,
81,07/02/2019 10:33,b'These feminazi bitches have threatened to enter #Sabarimala temple again on 12 feb\n@pratheesh_ahp \n#SaveSabarimala\xe2\x80\xa6 https://t.co/38ad2EAh1f',0.0,1.0,1.09346e+18,Hindu108
82,,,,,,
83,07/02/2019 09:23,b'Shameful act by Travancore Devaswom Board by making U-turn in Sabarimala issue. Solving religeous problems with sec\xe2\x80\xa6 https://t.co/Gx3E4WdA8W',0.0,0.0,1.09344e+18,menikkara
84,,,,,,
85,07/02/2019 08:58,"b""#SaveSabarimalaTradition If Viju's Commies &amp; its mouthpiece DB not driven out of Sabarimala temple functioning,seem\xe2\x80\xa6 https://t.co/BDHYx1XtjE""",0.0,0.0,1.09343e+18,navin_asti
86,,,,,,
87,07/02/2019 08:18,b'Varma alleges TDB not with devotees https://t.co/X60tNvl6h8 #SasikumarVarma #TDB #Travancoredevaswomboard\xe2\x80\xa6 https://t.co/LYVfNG88aW',0.0,0.0,1.09342e+18,pennewstweet
88,,,,,,
89,07/02/2019 07:59,b'@blsanthosh @surnell @vijayanpinarayi @BJP4Keralam When both Kerala govt &amp; Devaswom board have breached the mandate\xe2\x80\xa6 https://t.co/OeOgDuwVfe',2.0,0.0,1.09342e+18,bulletmanV
90,,,,,,
91,07/02/2019 07:44,"b""@Kuvalayamala Ma'am, U should ignore responding. Political preference &amp; Hinduism views r different. I always respec\xe2\x80\xa6 https://t.co/AB3esKfk1h""",1.0,0.0,1.09342e+18,Indian_GirishN
92,,,,,,
93,07/02/2019 07:41,b'@suprema_she @vigilant_ap @Kuvalayamala @narendramodi @People4Dharma Started with Anjali asking for ordinance on\xe2\x80\xa6 https://t.co/Ehkrkmpx1Q',0.0,0.0,1.09341e+18,JyAnap_PrApthi
94,,,,,,
95,07/02/2019 07:28,"b'Kanakadurga returns home, but husband and family shift to rented house https://t.co/rS9TLnjw8L #Kanakadurga\xe2\x80\xa6 https://t.co/RbwqB8QIha'",0.0,0.0,1.09341e+18,pennewstweet
96,,,,,,
97,07/02/2019 07:25,"b'Another #Taliban #media @AlJazeera_World #FakeNews #presstitues say ""a number of woman managed to enter"" loll,these\xe2\x80\xa6 https://t.co/xez85oWXM7'",2.0,0.0,1.09341e+18,sidhu81m
98,,,,,,
99,07/02/2019 07:15,b'Devaswom Board members are afraid to face the public after their U turn in SC yesterday. They returned halfway afte\xe2\x80\xa6 https://t.co/UkBbhalK9t',5.0,2.0,1.09341e+18,radhakrishmenon
100,,,,,,
101,07/02/2019 07:04,"b""@Bobbycal @Ajnanahanta Yes. We don't need a Devaswom Board which back stabs the devotees. Devaswom Board Members mu\xe2\x80\xa6 https://t.co/Yyns7zc2j9""",0.0,2.0,1.09341e+18,radhakrishmenon
102,,,,,,
103,07/02/2019 06:31,"b'Totally Agenda Driven News..\nNeed of the hour ..save our Hindu Temples from Govt ,Politics and politicians\xe2\x80\xa6 https://t.co/S0O2nDz41G'",1.0,0.0,1.0934e+18,krishnasdwar
104,,,,,,
105,07/02/2019 06:05,"b'commis and scamgress joins hands in bengal,  pretends to fight  in kerala.....these two scam parties betrayed\xe2\x80\xa6 https://t.co/POpJC43Gka'",1.0,0.0,1.09339e+18,sk_6352
106,,,,,,
107,07/02/2019 04:44,b'#SaveSabarimalaTradition There is no free will in this country when it comes to Hindus??? Is Devaswom Board being p\xe2\x80\xa6 https://t.co/Ltv58Wog3k',1.0,0.0,1.09337e+18,RanjanaPareek3
108,,,,,,
109,07/02/2019 04:38,"b'Kerala Govt stands by SC verdict on Sabarimala young women entry, says no ground for review https://t.co/4JVEh2BQ7E\xe2\x80\xa6 https://t.co/GDodtuMAPk'",0.0,0.0,1.09337e+18,pennewstweet
110,,,,,,
111,07/02/2019 04:33,b'Devaswom bats for women entry in Sabarimala https://t.co/oJXCRjSu5d \xe2\x80\xa6 #Sabarimala  #SabarimalaReview\xe2\x80\xa6 https://t.co/A4FxSK3FY2',0.0,0.0,1.09337e+18,pennewstweet
112,,,,,,
113,07/02/2019 03:49,b'@narendramodi @PMOIndia @OfficeOfRSP @rashtrapatibhvn @vhsindia @Swamy39  atheists and Hindu Haters using Kerala st\xe2\x80\xa6 https://t.co/m1Tpi9jEI0',0.0,0.0,1.09336e+18,sadanjan
114,,,,,,
115,07/02/2019 03:31,"b""@ExSecular People don't even know tradition/ritual/belief on ayaapa/sabarimala #SaveSabarimalaTradition \n\nWondering\xe2\x80\xa6 https://t.co/vu9vAGCd9V""",0.0,0.0,1.09335e+18,Helios579
116,,,,,,
117,07/02/2019 03:11,b'Save Sabrimala: Shattering The Misconceptions. Listen to this distinguished panel of Hindu women and Adv.\xe2\x80\xa6 https://t.co/JafkZdGdMD',3.0,1.0,1.09335e+18,avatans
118,,,,,,
119,07/02/2019 03:00,b'The fact that those in power chose to aided and abetted  a known fraudster in decsqcrating sacred Hindu shrine shou\xe2\x80\xa6 https://t.co/07lvf0z0OO',5.0,2.0,1.09334e+18,neeraj_p
120,,,,,,
121,07/02/2019 02:48,b'@ShashiTharoor Please push legislation to insulate ancient Hindu temples from roving enquiries by govts and courts.\xe2\x80\xa6 https://t.co/vgrCEKZwXe',0.0,0.0,1.09334e+18,bulletmanV
122,,,,,,
123,07/02/2019 02:20,"b'Swami Sharanam..Why has it become so difficult, 4get others,evn Hindu judges n Devassom board 2understand d need 2u\xe2\x80\xa6 https://t.co/FM5ShuHQMX'",1.0,0.0,1.09333e+18,pointponder
124,,,,,,
125,07/02/2019 02:20,b'#SaveSabarimalaTradition I have an untweetable description for Padma Kumar and TDB U-Turn https://t.co/C8rE3W8iqc',20.0,12.0,1.09333e+18,surnell
126,,,,,,
127,07/02/2019 02:03,"b""Swami Sharnam..It's sad that when all true devotees of Bhagwan Ayyappa are looking 4legal help 2their vows, there i\xe2\x80\xa6 https://t.co/m45zRLch2L""",0.0,0.0,1.09333e+18,pointponder
128,,,,,,
129,07/02/2019 01:26,"b""@the_hindu Devasom board need to freed from govt control, no one should be appointed who doesn't support devotees.\xe2\x80\xa6 https://t.co/245Ltx1v2p""",0.0,0.0,1.09332e+18,ranjisvoice
130,,,,,,
131,07/02/2019 01:24,b'@SaveSabrimala @sjayantam @Kuvalayamala @narendramodi @PMOIndia @BJP4India @kanimozhi @ranganaathan @prafullaketkar\xe2\x80\xa6 https://t.co/jkcN0HjIO9',3.0,1.0,1.09332e+18,iyer_rn
132,,,,,,
133,07/02/2019 00:23,b'Begani shaadi mein Abdulla Deewana\xf0\x9f\x91\x87\xf0\x9f\xa4\x94 as I said ppl who think #Sabarimala is about gender justice are either Idiots\xe2\x80\xa6 https://t.co/JI99cdeo4h',1.0,0.0,1.0933e+18,baburajvarma
134,,,,,,
135,07/02/2019 00:15,"b'SC, dont mock my religion, culture &amp; tradition in the name of your new found book Constitution that has borrowed id\xe2\x80\xa6 https://t.co/8iZesfkWJS'",1.0,0.0,1.0933e+18,PriyanGMenon
136,,,,,,
137,06/02/2019 18:40,b'Devaswom bats for women entry in Sabarimala https://t.co/oJXCRjSu5d \xe2\x80\xa6 #Sabarimala  #SabarimalaReview\xe2\x80\xa6 https://t.co/gis998s4bJ',0.0,0.0,1.09322e+18,pennewstweet
138,,,,,,
139,06/02/2019 18:16,b'@lotophagus @jayasreenair1 @kaliamma99 madam dont let your political inclination or fake wellwishers  cloud your ju\xe2\x80\xa6 https://t.co/lSKV5Mbaa1',6.0,0.0,1.09321e+18,sk_6352
140,,,,,,
141,06/02/2019 17:40,"b""Please do it @narendramodi we need to nail the anti hindus coffin so hard , that they won't raise again\xe2\x80\xa6 https://t.co/HhcXWDzIJh""",0.0,0.0,1.0932e+18,ohmtweets
142,,,,,,
143,06/02/2019 17:32,b'@Kuvalayamala @davidfrawleyved If Congress and BJP are really interested in safe guarding tradition of #sabarimala\xe2\x80\xa6 https://t.co/f3Xaxm2gzu',0.0,0.0,1.0932e+18,Patriotofbharat
144,,,,,,
145,06/02/2019 16:47,b'Spineless Devasom board and a anti hindu CM\xf0\x9f\x98\xa1\n\n#SaveSabarimalaTradition',0.0,0.0,1.09319e+18,Chennagee
146,,,,,,
147,06/02/2019 16:40,b'#SaveSabarimalaTradition The way protests R carried out against SC verdict R considered 2 B protests of impotents b\xe2\x80\xa6 https://t.co/ZiCMkcA1Yw',0.0,0.0,1.09319e+18,navin_asti
148,,,,,,
149,06/02/2019 16:21,"b'@SCofInd @rashtrapatibhvn @Narendramodi_PM @PMOIndia @KeralaGovernor Respected @SCofInd ,\nPlease\xe2\x80\xa6 https://t.co/6TxTmoqhIo'",0.0,0.0,1.09318e+18,GopakumarNair14
150,,,,,,
151,06/02/2019 15:28,b'A man is allowed  to marry 4 wives and does not allow women entirely to worship alongside them in mosques universal\xe2\x80\xa6 https://t.co/nzD9W41POS',0.0,0.0,1.09317e+18,AngelusArch
152,,,,,,
153,06/02/2019 15:08,b'Main role of travancore devasom should be to protect temples and their tradition. When they have not done that in S\xe2\x80\xa6 https://t.co/jMxBnAQ2Pf',0.0,1.0,1.09316e+18,vineesh1202
154,,,,,,
155,06/02/2019 14:41,b'THE KOSHER DEEP STATE\nHAS FILLED OUR BUREAUCRACY WITH JNU COMMIE BABUS\n\nEVERY SECRET GOES TO THE KOSHER DEEP STATE\xe2\x80\xa6 https://t.co/2csqWbEDfX',0.0,0.0,1.09316e+18,PrajnanamBrahma
156,,,,,,
157,06/02/2019 14:38,b'THE KOSHER DEEP STATE\nHAS FILLED OUR MAIN STREAM MEDIA WITH COMMIE ANTI-WATAN JOURNALISTS \n\n- TYPICAL EXAMPLES ARE\xe2\x80\xa6 https://t.co/D1FHzcvOK7',0.0,0.0,1.09316e+18,PrajnanamBrahma
158,,,,,,
159,06/02/2019 14:29,b'Can this happen in Kerala also #Sabarimala #SaveSabarimalaTradition https://t.co/67oPgC1Wgk',0.0,1.0,1.09315e+18,vineesh1202
160,,,,,,
161,06/02/2019 14:26,"b""Why should Hindu temples be manned by some board? If they serve the purpose of Hindus, there's meaning. here the ga\xe2\x80\xa6 https://t.co/rciCdVsYtt""",0.0,0.0,1.09315e+18,UNinTN
162,,,,,,
163,06/02/2019 14:14,b'@TVMohandasPai @Arunakrishnan Need to ensure the communist board is kicked out. New order by the dictator that no P\xe2\x80\xa6 https://t.co/JK6Heyxd0F',0.0,0.0,1.09315e+18,Sk_nairR
164,,,,,,
165,06/02/2019 14:07,b'@TVJanam @surendranbjp .. I am not a BJP guy but if u r standing in TVM will work for your win free and will ensure\xe2\x80\xa6 https://t.co/Ua5981Imlo',0.0,0.0,1.09315e+18,Sk_nairR
166,,,,,,
167,06/02/2019 13:58,b'@HinduJagrutiOrg #wednesdaythoughts #SaveSabarimalaTradition  every tradition of hindu dharm based on pure scientif\xe2\x80\xa6 https://t.co/EAIJGB3L2c',9.0,11.0,1.09315e+18,shrikrushna2911
168,,,,,,
169,06/02/2019 13:42,b'@BJP4Keralam Would love to see a tweet from u guys on Sabarimala review petition of today @psspillaibjp @BJP4India\xe2\x80\xa6 https://t.co/ElhsJ1U3Xd',0.0,0.0,1.09314e+18,Sk_nairR
170,,,,,,
171,06/02/2019 12:58,b'IT WAS THE WHITE INVADER WHO CREATED THAT LIE\n-THAT BLOOD IS SACRIFICE COMPULSORY IN TANTRIC TEMPLES-\n\n#Kerala\xe2\x80\xa6 https://t.co/6cnFj3nbFq',0.0,0.0,1.09313e+18,PrajnanamBrahma
172,,,,,,
173,06/02/2019 12:55,b'BUT WHEN IT COMES TO JACOBITE SYRIAN #CHRISTIAN VOTES\n( POLITICAL SUPPORT FROM BISHOP JOSEPH MOR GREGORIOUS )\n\nCOMM\xe2\x80\xa6 https://t.co/IzEEQH0V2o',0.0,0.0,1.09313e+18,PrajnanamBrahma
174,,,,,,
175,06/02/2019 12:53,"b'AS LONG AS SABARIMALA PILGRIMAGE EXISTS, ...\n- FOREIGN FORCES CANNOT CONVERT POOR TRIBALS TO CHRISTIANITY -\n\nANTI-H\xe2\x80\xa6 https://t.co/EStbSl8ci1'",0.0,0.0,1.09313e+18,PrajnanamBrahma
176,,,,,,
177,06/02/2019 12:53,b'WE WANT THE #KERALA #DEVASWOMBOARD\nCONTROLLED BY RABID ANTI-HINDU FORCES\n( MOST ARE ATHEIST COMMIES / CHRISTIANS WI\xe2\x80\xa6 https://t.co/NV2OBmAfw6',0.0,1.0,1.09313e+18,PrajnanamBrahma
178,,,,,,
179,06/02/2019 12:51,"b'WHY IS THE ILLEGAL COLLEGIUM JUDICIARY SILENT\n-ON THE STALIN TYPE RULE OF PINARAYI VIJAYAN-\nUSING ""FEAR IS THE KEY""\xe2\x80\xa6 https://t.co/ICJ9Mhzcpz'",0.0,0.0,1.09313e+18,PrajnanamBrahma
180,,,,,,
181,06/02/2019 12:50,b'BANK ACCOUNTS OF PILGRIMS &amp; BJP WORKERS ARE BEING FROZEN\n-ON FALSE CHARGES/MORPHED PICTURES-\n\n..FALSE FLAG ATTACKS\xe2\x80\xa6 https://t.co/UDzZw5oZbj',0.0,0.0,1.09313e+18,PrajnanamBrahma
182,,,,,,
183,06/02/2019 12:49,b'WE WANT A JUDICIAL INQUIRY INTO WHY\n- POLICE/ MAGISTRATES/ JUDGES/ DISTRICT COLLECTORS -\nHAVE FORGOTTEN THEIR OATHS\xe2\x80\xa6 https://t.co/7XKrVShNmj',0.0,0.0,1.09313e+18,PrajnanamBrahma
184,,,,,,
185,06/02/2019 12:49,b'https://t.co/qZSfr51JQj\n\n--- WE THE PEOPLE ---\n\nWANT ATHEIST COMMIE PINARAYI VIJAYAN KERALA GOVT\nTO BE DISMISSED\n\n.\xe2\x80\xa6 https://t.co/PH2TZ6ESn3',0.0,0.0,1.09313e+18,PrajnanamBrahma
186,,,,,,
187,06/02/2019 12:29,b'If you think #Sabarimala issue is about gender equality and not about any hidden agenda of #Commie #Comrats in Kera\xe2\x80\xa6 https://t.co/WfS9Ws4xzg',9.0,6.0,1.09312e+18,baburajvarma
188,,,,,,
189,06/02/2019 12:08,"b'@Kuvalayamala Today it is Police Stations, tomorrow it will be (Hindu) homes of Kerala. Evil Communist rulers will\xe2\x80\xa6 https://t.co/Pe2krPF1Mb'",0.0,0.0,1.09312e+18,shinils
190,,,,,,
191,06/02/2019 11:55,b'#SaveSabarimalaTradition \nlaw is necessary for protecting the unique Ancient Hindu traditions from judicial tyranny\xe2\x80\xa6 https://t.co/5BrBdJXREj',0.0,0.0,1.09312e+18,Sreekumarkrish3
192,,,,,,
193,06/02/2019 11:43,"b'1972 news paper. Says as per  existing tradition,young women between age 10 and 55 are banned in Sabarimala.Also sa\xe2\x80\xa6 https://t.co/dwluEKa8tv'",13.0,6.0,1.09311e+18,jineesh_blr
194,,,,,,
195,06/02/2019 11:21,"b""@Kuvalayamala Mam please don't compare tantri with Pope or grand mufti because unlike the former,  tantri is not po\xe2\x80\xa6 https://t.co/pIOntN9Vzd""",3.0,0.0,1.09311e+18,prateek20111989
196,,,,,,
197,06/02/2019 11:10,b'@minditIsay @rgkpillai @narendramodi It is necessary as this is outrageous. #Sabarimala #SaveSabarimalaTradition #SaveSabarimala',2.0,0.0,1.0931e+18,samskarebyaha
198,,,,,,
199,06/02/2019 11:02,b'Is it just me? Or others too find similarities b/w these two pubic(sic) figures ? Padmakumar and @prakashraaj. Both\xe2\x80\xa6 https://t.co/zX7wy91bab',2.0,1.0,1.0931e+18,exception41
200,,,,,,
